"old_url","interaction_type","fields_buttons_present","required_new_site_implementation","current_new_site_status","gap","owner","priority"
"Site-wide footer / multiple legacy pages","Newsletter email signup","Email field; subscribe CTA; newsletter archive link","Add visible Mailchimp signup embed or API-backed subscribe form in shared site shell/footer; keep archive link alongside it","Archive link is present in shared marketing shell and on some pages, but no public signup form or Mailchimp capture surface was found","Missing","Growth/Comms","High"
"https://www.mekorhabracha.org/contact-us","Contact form","First name; last name; email; phone; message; submit; WhatsApp join link","Keep native contact form and route submissions to current contact workflow","Native ContactForm exists on /contact-us and posts to /api/forms/contact; WhatsApp join link is present","Present","Frontend","Medium"
"https://www.mekorhabracha.org/visit-us","Visitor inquiry form","First name; last name; email; phone; message; submit; WhatsApp group joins; newsletter archive link","Keep native contact form for visitor inquiries; add Mailchimp signup option near newsletter/archive area if visitor email capture is desired","Native ContactForm exists on /visit-us and WhatsApp links are present; archive link is present; no Mailchimp signup form found","Partial","Frontend","Medium"
"https://www.mekorhabracha.org/about-us","General inquiry / contact CTA","Legacy inquiry/contact prompt tied to about page content","Add a clear native inquiry CTA or contact form block on /about-us, or link to /contact-us with explicit inquiry intent","Updated native page has informational content but no embedded form component or explicit inquiry flow","Missing","Frontend","Medium"
"https://www.mekorhabracha.org/center-city","Kosher data correction / local kashrut contact","'If information is inaccurate, please contact us' style correction CTA","Add native 'report a correction' or 'submit kosher update' form for local listings; route entries to admin review","Neighborhood page has restored wording and static contact guidance, but no submission form","Missing","Frontend","High"
"https://www.mekorhabracha.org/main-line-manyunk","Kosher data correction / local kashrut contact","'If information is inaccurate, please contact us' style correction CTA","Add native 'report a correction' or 'submit kosher update' form for local listings; route entries to admin review","Neighborhood page has route-level content, but no submission form","Missing","Frontend","High"
"https://www.mekorhabracha.org/old-yorkroad-northeast","Kosher data correction / local kashrut contact","'If information is inaccurate, please contact us' style correction CTA","Add native 'report a correction' or 'submit kosher update' form for local listings; route entries to admin review","Neighborhood page has route-level content, but no submission form","Missing","Frontend","High"
"https://www.mekorhabracha.org/cherry-hill","Kosher data correction / local kashrut contact","'If information is inaccurate, please contact us' style correction CTA","Add native 'report a correction' or 'submit kosher update' form for local listings; route entries to admin review","Neighborhood page has route-level content, but no submission form","Missing","Frontend","High"
"https://www.mekorhabracha.org/team-4","Volunteer signup","First name; last name; email; phone; volunteer area/opportunity; availability; notes; submit","Keep native volunteer form and ensure submissions reach staff operations inbox","Native VolunteerForm exists on /team-4 and posts to /api/forms/volunteer","Present","Frontend","Medium"
"https://www.mekorhabracha.org/davening","Minyan participation / RSVP","RSVP by email; weekday minyan interest; WhatsApp join CTA","Add structured weekday/minyan signup form or RSVP workflow in addition to the existing WhatsApp/email prompts","Page preserves RSVP wording and WhatsApp CTA, but no dedicated submission form or structured RSVP capture was found","Partial","Events","High"
"https://www.mekorhabracha.org/membership","Membership join / renew","Join or renew CTAs; payment options; email-based request path; dues context","Keep native membership application and Stripe checkout flow; preserve email/manual support path for payment-plan exceptions","Rich native application flow exists under /membership/apply with hosted checkout; broader join/renew support is present","Present","Membership","Medium"
"https://www.mekorhabracha.org/auxiliary-membership","Auxiliary / alumni membership request and payment","Email request to join; online payment options; mailed check option","Add structured auxiliary membership inquiry or lightweight request form, plus clear payment path","Current page has content and payment guidance, but no dedicated structured application/request form was found","Partial","Membership","Medium"
"https://www.mekorhabracha.org/donations","General donations","Donation amount/designation; payment CTA; check-mail instructions; dedication language","Keep native donation checkout and preserve manual giving instructions","Native DonationCheckoutForm exists on /donations with secure checkout","Present","Payments","Low"
"https://www.mekorhabracha.org/kiddush","Kiddush sponsorship / payment","Sponsorship level selection; payment CTA; dedication text","Keep native kiddush sponsorship/payment flow and verify sponsor/dedication capture covers legacy needs","Page includes native payment path and restored legacy wording, but sponsorship intake appears lighter than a full legacy request workflow","Partial","Payments","Medium"
"https://www.mekorhabracha.org/events","Events hub RSVP / detail CTA","Event cards; RSVP CTAs; occasional Zoom RSVP wording; minyan WhatsApp CTA","Keep native event pages with EventSignupPanel; ensure managed events cover legacy RSVP use cases","Native events hub and signup panel exist for managed events","Present","Events","Medium"
"https://www.mekorhabracha.org/events-1/mekor-s-tot-shabbat","Event-specific external RSVP","External Google Form RSVP link","For migrated legacy events that are still relevant, support either native event signup or explicit external-form CTA","Native events system exists, but legacy external-form pages are not all reproduced one-for-one","Partial","Events","Medium"
"https://www.mekorhabracha.org/events-1/scholar-in-residence-shabbat-with-rabbi-aaron-goldscheider","Event-specific external RSVP","External Google Form RSVP link; deadline language","For migrated legacy events that are still relevant, support either native event signup or explicit external-form CTA","Native events system exists, but legacy external-form pages are not all reproduced one-for-one","Partial","Events","Medium"
"https://www.mekorhabracha.org/contact-us","WhatsApp community join","Join WhatsApp button","Keep direct WhatsApp join CTA in contact surfaces","WhatsApp join CTA exists on /contact-us","Present","Frontend","Low"
"https://www.mekorhabracha.org/visit-us","WhatsApp community join","Multiple WhatsApp group join CTAs","Keep direct WhatsApp group join CTAs in visit flow","Multiple WhatsApp group CTAs exist on /visit-us","Present","Frontend","Low"
"https://www.mekorhabracha.org/davening","WhatsApp minyan join","Join minyan WhatsApp button","Keep direct WhatsApp join CTA in davening flow","Minyan WhatsApp CTA exists on /davening","Present","Frontend","Low"
"https://www.mekorhabracha.org/israel","External donation CTA","Donate Now external link","Keep external giving CTA or replace with equivalent tracked donation flow","Donate Now CTA is present on /israel","Present","Payments","Low"
"https://www.mekorhabracha.org/mekor-bulletin-board","Volunteer and donation callouts","Email volunteer prompts; recurring donation CTA; external appointment/contact links","Decide which bulletin-board workflows remain active and migrate only the live ones into owned native pages or structured forms","Informational bulletin board page exists, but legacy ad hoc volunteer/donation callouts are not systematized as structured flows","Partial","Content","Low"
